-DOCSTART- -X- -X- O

All PDT B-NP O
the DT I-NP O
key JJ I-NP O
numbers NNS I-NP O
- : O O
CBI NNP B-NP S-ORG
August NNP I-NP O
industrial JJ I-NP O
trends NNS I-NP O
. . O O

LONDON NNP B-NP S-LOC
1996-08-23 CD I-NP O

Following VBG B-VP O
are VBP B-VP O
key JJ B-NP O
data NNS I-NP O
from IN B-PP O
the DT B-NP O
August NNP I-NP O
monthly JJ I-NP O
survey NN I-NP O
of IN B-PP O
trends NNS B-NP O
in IN B-PP O
UK NNP B-NP S-LOC
manufacturing NN I-NP O
by IN B-PP O
the DT B-NP O
Confederation NNP I-NP B-ORG
of IN B-PP I-ORG
British NNP B-NP I-ORG
Industry NNP I-NP E-ORG
( ( O O
CBI NNP B-NP S-ORG
) ) O O
. . O O

CBI NNP B-NP S-ORG
MONTHLY NNP I-NP O
TRENDS NNPS I-NP O
ENQUIRY NN I-NP O
( ( O O
a DT O O
) ) O O
AUG NNP B-NP O
JULY NNP I-NP O
JUNE NNP I-NP O
MAY NNP I-NP O

- : O O
total JJ B-NP O
order NN I-NP O
book NN I-NP O
- : O O
10 CD B-NP O
- : I-NP O
22 CD I-NP O
- : I-NP O
13 CD I-NP O
- : I-NP O
17 CD I-NP O

- : O O
export NN B-NP O
order NN I-NP O
book NN I-NP O
- : O O
14 CD B-NP O
- : I-NP O
13 CD I-NP O
- : I-NP O
11 CD I-NP O
- : I-NP O
7 CD I-NP O

- : O O
stocks NNS B-NP O
of IN B-PP O
finished VBN B-NP O
goods NNS I-NP O
+17 CD B-NP O
+19 CD I-NP O
+17 CD I-NP O
+25 CD I-NP O

- : O O
output NN B-NP O
expectations NNS I-NP O
* SYM O O
+22 CD B-NP O
+22 CD I-NP O
+12 CD I-NP O
+16 CD I-NP O

- : O O
domestic JJ B-NP O
price NN I-NP O
expectations NNS I-NP O
* SYM O O
0 CD B-NP O
- : I-NP O
1 CD I-NP O
+6 CD I-NP O
+4 CD I-NP O

NOTES NNS B-NP O
- : O O
* SYM O O
over IN B-PP O
the DT B-NP O
coming VBG I-NP O
four CD I-NP O
months NNS I-NP O
; : O O

- : O O
( ( O O
a DT O O
) ) O O
in IN B-PP O
percent NN B-NP O
, , O O
giving VBG B-VP O
balance NN B-NP O
between IN B-PP O
those DT B-NP O

replying VBG B-VP O
" " O O
above IN B-PP O
normal JJ B-NP O
" " O O
and CC O O
those DT B-NP O
replying VBG B-VP O
" " O O
below IN B-PP O
normal JJ B-ADJP O
. . O O
" " O O

The DT B-NP O
survey NN I-NP O
was VBD B-VP O
conducted VBN I-VP O
between IN B-PP O
July NNP B-NP O
23 CD I-NP O
and CC O O
August NNP B-NP O
14 CD I-NP O
and CC O O
involved VBD B-VP O
1,305 CD B-NP O
companies NNS I-NP O
, , O O
representing VBG B-VP O
50 CD B-NP O
industries NNS I-NP O
, , O O
accounting VBG B-VP O
for IN B-PP O
around IN B-NP O
half NN I-NP O
of IN B-PP O
the DT B-NP O
UK NNP I-NP S-LOC
's POS B-NP O
manufactured VBN I-NP O
exports NNS I-NP O
and CC O O
some DT B-NP O
two CD I-NP O
million CD I-NP O
employees NNS I-NP O
. . O O

-- : B-NP O
Rosemary NNP I-NP B-PER
Bennett NNP I-NP E-PER
, , O O
London NNP B-NP B-ORG
Newsroom NNP I-NP E-ORG
+44 CD I-NP O
171 CD I-NP O
542 CD I-NP O
7715 CD I-NP O


