Id,Label
21,pattern recognition
22,image
59,face recognition
90,machine learning
102,speech recognition
146,Fuzzy
182,pattern
186,computer vision
262,artificial intelligence
271,iris
747,modular neural networks
748,Hough transform
751,D HLAC
752,Zhang - suen algorithm
757,EEG
758,Event - Related Covariances
759,Neurocognitive Pattern
761,Initial Data Analysis
762,Wigner time - frequency distributions
772,artificial neural network ANN
773,discrete wavelet transform
775,artificial neural networks
776,neural network
779,RGB - D sensor
780,frontal - view
781,facial temperature estimation
782,facial biometrics
794,Euclidean distance
795,BP neural network
796,artificial bee colony optimization ABC
797,Functional link artificial neural network FLANN
804,stereoscopic display
806,stereoscopic saliency detection
815,Kohonen neural network
821,Vector Machines
832,Back Propagation
840,fuzzy topological spaces
842,SI - TOP
843,I - topological spaces
845,Support
846,Fisher s Linear Discriminant
847,deep convolutional neural network
859,radial basis function neural network
860,discrete cosine transform
866,Multilayer Perceptron
871,classification - based machine learning
872,Random Forest
874,Fourier transform
878,wavelet transform
881,automatic 
882,Minimum Error Minimax Probability Machine MEMPM
883,Minimax Probability Machine MPM
884,Vector Machine SVM
885,Recognition
886,fuzzy metric spaces
896,fuzzy curve tracing
897,NeuCube
898,hand recognition
899,image reconstruction
900,modular recognition
901,Labeled Faces
902,fuzzy modeling framework
903,fuzzy inference system
904,fuzzy IF - THEN
905,fuzzy rule - based modeling
906,support vector machine
922,structure - activity relationship
927,topological space
934,Haar wavelet
943,Hidden Markov Model HMM
944,Sun - Spot Data SSD
953,Gabor filter
955,feedforward neural network
956,WD - HMM
957,systematic statistical theory
958,Markov
959,Hough
960,region - based fusion
961,max - likelihood theory
965,BP algorithm
966,spatial pyramid framework
969,Fourier transformation
977,Fisher s Discriminant Ratio Kernel
978,Common
979,Vector Approach CVA CVA
980,multi
981,One - Dimensional Discrete Wavelet Transform
982,Off - Angle Dataset
983,iris angle estimation
984,two - phase angle estimation
985,D eyeball simulator
1007,fault - tolerance problem
1008,fault - tolerance
1009,fault tolerance
1010,dynamical system theory
1011,feed forward neural networks
1012,pseudo - attractor
