Source,Target,Type,Weight
12,1368,Directed,2
12,1369,Directed,2
12,1370,Directed,2
6,1376,Directed,2
6,1377,Directed,2
6,1380,Directed,2
6,1381,Directed,7
6,1382,Directed,2
12,1413,Directed,2
12,1414,Directed,2
6,1417,Directed,2
6,1420,Directed,2
6,1421,Directed,2
12,1431,Directed,2
6,1456,Directed,2
6,1457,Directed,2
6,1461,Directed,2
6,1405,Directed,7
6,1462,Directed,2
6,1463,Directed,2
100,1464,Directed,2
100,1465,Directed,2
6,1464,Directed,4
6,1465,Directed,2
100,1475,Directed,2
12,1477,Directed,2
12,1478,Directed,2
12,1479,Directed,2
12,1480,Directed,2
100,1494,Directed,3
100,1495,Directed,2
100,1496,Directed,2
100,1497,Directed,2
100,1381,Directed,4
100,1499,Directed,3
100,1500,Directed,2
6,1494,Directed,3
6,1495,Directed,2
6,1496,Directed,2
6,1497,Directed,2
6,1499,Directed,3
6,1500,Directed,2
6,1508,Directed,2
6,1509,Directed,2
6,1510,Directed,2
6,1511,Directed,2
6,1523,Directed,2
6,1524,Directed,2
6,1535,Directed,2
100,1536,Directed,2
100,1537,Directed,2
100,1538,Directed,2
6,1536,Directed,2
6,1537,Directed,2
6,1538,Directed,2
12,1545,Directed,2
12,1546,Directed,2
12,1557,Directed,2
12,1558,Directed,3
100,1609,Directed,2
100,1610,Directed,3
100,1611,Directed,3
100,1612,Directed,2
6,1609,Directed,2
6,1610,Directed,3
6,1611,Directed,4
6,1612,Directed,2
6,1625,Directed,2
12,1628,Directed,3
100,1629,Directed,3
100,1630,Directed,3
6,1629,Directed,3
6,1630,Directed,3
100,1658,Directed,2
100,1659,Directed,2
100,1660,Directed,2
6,1658,Directed,2
6,1659,Directed,2
6,1660,Directed,2
6,1666,Directed,2
6,1372,Directed,3
100,1674,Directed,2
100,1675,Directed,2
100,1676,Directed,2
6,1674,Directed,2
6,1675,Directed,2
6,1676,Directed,2
100,1679,Directed,2
100,1680,Directed,2
100,1681,Directed,2
100,1682,Directed,2
100,1683,Directed,2
100,1684,Directed,2
100,1685,Directed,2
100,1686,Directed,2
6,1681,Directed,2
6,1682,Directed,2
6,1683,Directed,2
6,1684,Directed,2
6,1685,Directed,2
6,1686,Directed,2
12,1621,Directed,2
12,1724,Directed,2
12,1725,Directed,2
12,1405,Directed,4
12,1624,Directed,2
12,1729,Directed,3
12,1730,Directed,2
100,1742,Directed,2
6,1742,Directed,2
100,1746,Directed,2
6,1746,Directed,2
6,1759,Directed,2
6,1766,Directed,2
6,1767,Directed,2
100,1794,Directed,2
100,1795,Directed,2
100,1796,Directed,2
100,1797,Directed,2
100,1669,Directed,2
100,1798,Directed,2
100,1799,Directed,2
100,1800,Directed,2
100,1801,Directed,2
6,1794,Directed,2
6,1795,Directed,2
6,1796,Directed,2
6,1797,Directed,2
6,1669,Directed,2
6,1798,Directed,2
6,1799,Directed,2
6,1800,Directed,2
6,1801,Directed,2
6,1827,Directed,2
6,1828,Directed,2
6,1829,Directed,2
6,1830,Directed,2
6,1831,Directed,2
6,1832,Directed,2
6,1833,Directed,4
6,1585,Directed,2
6,1834,Directed,2
100,1835,Directed,2
6,1847,Directed,2
100,1848,Directed,2
6,1848,Directed,2
100,1850,Directed,2
6,1850,Directed,2
6,1853,Directed,3
6,1854,Directed,2
100,1874,Directed,2
100,1875,Directed,2
100,1876,Directed,2
6,1874,Directed,2
6,1875,Directed,2
6,1876,Directed,2
6,1894,Directed,2
6,1895,Directed,2
6,1896,Directed,3
6,1897,Directed,2
6,1898,Directed,2
6,1899,Directed,2
6,1900,Directed,2
6,1901,Directed,2
6,1902,Directed,2
6,1903,Directed,2
6,1904,Directed,2
6,1680,Directed,2
12,1909,Directed,2
12,1910,Directed,2
100,1861,Directed,4
6,1861,Directed,6
12,1953,Directed,2
12,1954,Directed,2
6,1958,Directed,2
6,1727,Directed,3
6,1959,Directed,3
6,1960,Directed,2
6,1964,Directed,3
6,1965,Directed,2
100,1967,Directed,2
6,1967,Directed,2
100,1988,Directed,3
6,2012,Directed,2
100,1521,Directed,2
6,1521,Directed,2
6,2030,Directed,3
6,1482,Directed,2
6,2031,Directed,3
100,2032,Directed,2
100,2033,Directed,2
100,2034,Directed,2
6,2032,Directed,2
6,2033,Directed,2
6,2034,Directed,2
12,2041,Directed,2
12,2042,Directed,2
12,2043,Directed,2
12,2044,Directed,2
12,2045,Directed,2
12,2046,Directed,2
6,2061,Directed,2
6,2062,Directed,2
12,2064,Directed,2
12,2065,Directed,2
12,2066,Directed,2
12,2068,Directed,2
12,2069,Directed,2
12,2070,Directed,3
12,2071,Directed,2
100,2087,Directed,2
100,2088,Directed,2
100,2089,Directed,2
100,2090,Directed,2
100,2091,Directed,2
100,1706,Directed,3
100,1667,Directed,4
100,2096,Directed,3
100,2097,Directed,2
100,2098,Directed,2
6,1667,Directed,5
6,2096,Directed,3
6,2097,Directed,2
6,2098,Directed,2
6,2106,Directed,2
6,2107,Directed,2
6,2115,Directed,2
100,2120,Directed,2
100,2121,Directed,2
100,2122,Directed,2
6,2120,Directed,2
6,2121,Directed,2
6,2122,Directed,2
12,2125,Directed,2
12,2126,Directed,2
6,2186,Directed,2
6,2187,Directed,2
12,1760,Directed,3
12,2190,Directed,3
12,1585,Directed,3
12,2191,Directed,3
100,2212,Directed,2
100,2213,Directed,2
100,2214,Directed,2
100,2215,Directed,2
100,1892,Directed,2
6,2212,Directed,2
6,2213,Directed,2
6,2214,Directed,2
6,2215,Directed,2
6,1892,Directed,2
12,2218,Directed,2
6,2248,Directed,2
6,2249,Directed,2
6,2250,Directed,2
6,2251,Directed,2
6,2252,Directed,3
6,2253,Directed,2
6,2254,Directed,2
6,2255,Directed,2
100,2257,Directed,2
100,2258,Directed,2
100,2259,Directed,3
100,2260,Directed,3
6,2257,Directed,2
6,2258,Directed,2
6,2259,Directed,3
6,2260,Directed,3
100,2261,Directed,2
6,2261,Directed,2
6,2288,Directed,2
6,2289,Directed,2
6,2290,Directed,2
6,1994,Directed,2
6,2291,Directed,2
6,1995,Directed,4
6,1598,Directed,3
100,2297,Directed,2
100,2298,Directed,2
6,2297,Directed,2
6,2298,Directed,2
100,2305,Directed,2
6,2305,Directed,2
12,2306,Directed,2
12,2307,Directed,2
12,2308,Directed,2
12,2309,Directed,2
12,2310,Directed,2
12,2311,Directed,2
12,2312,Directed,2
100,2314,Directed,2
100,2315,Directed,2
100,2316,Directed,2
100,2317,Directed,2
100,2318,Directed,2
6,2338,Directed,2
100,1995,Directed,3
100,2340,Directed,2
6,2340,Directed,2
100,2358,Directed,2
100,2359,Directed,2
100,2360,Directed,2
12,2364,Directed,3
100,2367,Directed,2
100,2368,Directed,2
100,2369,Directed,2
100,2252,Directed,2
6,2367,Directed,2
6,2368,Directed,2
6,2369,Directed,2
100,2113,Directed,2
6,2113,Directed,2
12,2391,Directed,2
12,2392,Directed,2
12,2393,Directed,2
12,1454,Directed,2
6,1621,Directed,3
100,2403,Directed,2
100,2404,Directed,2
6,2405,Directed,2
100,2406,Directed,2
12,2414,Directed,2
12,2415,Directed,2
12,2416,Directed,2
12,2417,Directed,2
