Source,Target,Type,Weight
38,5989,Directed,7
38,5990,Directed,7
38,5991,Directed,7
38,5542,Directed,7
16,5184,Directed,5
2789,6332,Directed,5
16,5161,Directed,4
329,5184,Directed,4
1256,5575,Directed,4
1256,5578,Directed,4
93,5723,Directed,4
93,5724,Directed,4
314,5820,Directed,4
16,5359,Directed,4
16,5878,Directed,4
16,5381,Directed,4
62,5093,Directed,3
21,5107,Directed,3
21,5108,Directed,3
189,5135,Directed,3
189,5136,Directed,3
43,5136,Directed,3
224,5141,Directed,3
225,5141,Directed,3
226,5141,Directed,3
227,5141,Directed,3
228,5141,Directed,3
229,5141,Directed,3
230,5141,Directed,3
231,5141,Directed,3
232,5141,Directed,3
282,5159,Directed,3
283,5159,Directed,3
16,5179,Directed,3
16,5183,Directed,3
16,5185,Directed,3
329,5179,Directed,3
329,5180,Directed,3
329,5183,Directed,3
329,5185,Directed,3
329,5186,Directed,3
332,5185,Directed,3
69,5179,Directed,3
69,5183,Directed,3
69,5184,Directed,3
69,5185,Directed,3
424,5204,Directed,3
476,5222,Directed,3
476,5223,Directed,3
476,5224,Directed,3
