edge_id,from_id,to_id,nums
0,3,3,2
1,8,4,2
2,8,5,2
3,8,6,2
4,8,7,2
5,8,8,2
6,8,9,2
7,8,10,2
8,9,4,2
9,9,5,2
10,9,6,2
11,9,7,2
12,9,8,2
13,9,9,2
14,9,10,2
15,27,23,2
16,27,24,3
17,27,25,2
18,27,26,2
19,30,23,2
20,30,24,3
21,30,25,2
22,30,26,2
23,35,28,2
24,35,29,2
25,41,34,2
26,44,37,3
27,44,38,2
28,57,47,2
29,57,15,3
30,57,48,2
31,57,50,2
32,57,51,2
33,60,47,2
34,60,15,2
35,60,48,2
36,60,50,2
37,60,51,2
38,86,67,2
39,86,68,2
40,99,80,2
41,99,81,2
42,102,80,2
43,102,81,2
44,103,80,2
45,103,81,2
46,104,80,2
47,104,81,2
48,105,80,2
49,105,81,2
50,106,80,2
51,106,81,2
52,108,83,2
53,108,84,2
54,126,94,2
55,126,95,2
56,127,94,2
57,127,95,2
58,145,107,2
59,145,108,2
60,145,109,2
61,145,110,2
62,158,111,2
63,158,112,2
64,162,113,2
65,162,15,2
66,165,114,2
67,165,115,2
68,166,114,2
69,166,115,2
70,170,116,2
71,189,133,2
72,189,134,2
73,189,135,2
74,191,133,2
75,191,134,2
76,191,135,2
77,196,136,2
78,196,137,2
79,201,138,2
80,209,143,2
81,209,144,2
82,212,145,2
83,212,146,2
84,215,145,2
85,215,146,2
86,217,147,2
87,218,147,2
88,103,148,2
89,230,155,2
90,230,156,2
91,237,159,2
92,237,160,2
93,239,159,2
94,239,160,2
95,240,159,2
96,240,160,2
97,250,161,2
98,250,162,2
99,250,163,2
100,250,164,2
101,250,165,2
102,280,75,2
103,280,190,2
104,280,191,2
105,280,192,2
106,280,193,2
107,280,194,2
108,282,75,2
109,282,190,2
110,282,191,2
111,282,192,2
112,282,193,2
113,282,194,2
114,298,204,2
115,298,205,2
116,298,206,2
117,298,207,2
118,301,204,2
119,301,205,2
120,301,206,2
121,301,207,2
122,302,208,2
123,308,209,2
124,308,210,2
125,310,211,2
126,311,212,2
127,312,212,2
128,314,213,2
129,314,214,2
130,326,75,3
131,333,225,2
132,333,226,3
133,333,227,2
134,335,225,2
135,335,226,3
136,335,227,2
137,340,229,2
138,340,230,2
139,342,229,2
140,342,230,2
141,343,229,2
142,343,230,2
143,351,238,2
144,365,248,2
145,365,95,2
146,365,249,2
147,365,250,2
148,365,251,2
149,373,162,2
150,373,257,2
151,374,162,2
152,374,257,2
153,375,162,2
154,375,257,2
155,377,162,2
156,377,257,2
157,380,258,2
158,380,259,2
159,388,262,2
160,388,263,2
161,388,264,2
162,395,268,3
163,374,271,2
164,374,272,2
165,374,273,2
166,415,283,2
167,415,284,2
168,418,283,2
169,418,284,2
170,422,285,2
171,422,286,2
172,422,287,2
173,434,299,2
174,435,299,2
175,436,299,2
176,103,299,2
177,129,299,2
178,261,299,2
179,143,300,2
180,143,301,2
181,440,300,2
182,440,301,2
183,103,302,2
184,103,303,2
185,444,75,2
186,444,304,2
187,445,305,2
188,446,305,2
189,151,305,2
190,103,308,3
191,191,308,2
192,455,309,2
193,455,310,2
194,455,311,2
195,455,312,2
196,455,185,2
197,455,313,2
198,461,75,2
199,461,316,2
200,462,75,2
201,462,316,2
202,472,325,2
203,472,326,2
204,472,327,2
205,476,325,2
206,476,326,2
207,476,327,2
208,375,335,2
209,375,337,2
210,375,338,2
211,374,360,2
212,374,361,2
213,103,360,2
214,103,361,2
215,520,367,2
216,520,368,2
217,520,369,2
218,520,370,2
219,103,367,2
220,103,368,2
221,103,369,2
222,103,370,2
223,524,367,2
224,524,368,2
225,524,369,2
226,524,370,2
227,320,371,2
228,320,372,2
229,57,374,2
230,542,388,2
231,544,389,2
232,57,390,2
233,57,391,2
234,547,390,2
235,547,391,2
236,549,74,2
237,549,75,2
238,549,392,2
239,558,397,2
240,558,398,2
241,558,399,2
242,395,400,2
243,561,401,2
244,561,402,2
245,561,403,2
246,564,401,2
247,564,402,2
248,564,403,2
249,565,401,2
250,565,402,2
251,565,403,2
252,578,409,2
253,578,410,2
254,578,411,2
255,579,409,2
256,579,410,2
257,579,411,2
258,586,417,2
259,587,417,2
260,591,420,2
261,596,425,2
262,597,425,2
263,611,438,2
264,611,439,2
265,611,440,2
266,611,441,2
267,611,442,2
268,613,438,2
269,613,439,2
270,613,440,2
271,613,441,2
272,613,442,2
273,205,438,2
274,205,439,2
275,205,440,2
276,205,441,2
277,205,442,2
278,615,438,2
279,615,439,2
280,615,440,2
281,615,441,2
282,615,442,2
283,620,443,2
284,620,444,2
285,620,445,2
286,620,446,2
287,620,447,2
288,636,457,2
289,636,458,2
290,636,459,2
291,639,460,2
292,639,461,3
293,640,460,2
294,640,461,3
295,643,460,2
296,643,461,3
297,650,462,2
298,650,463,2
299,650,464,2
300,657,465,2
301,657,466,2
302,657,467,2
303,657,468,2
304,657,469,2
305,657,470,2
306,657,471,2
307,659,465,2
308,659,466,2
309,659,467,2
310,659,468,2
311,659,469,2
312,659,470,2
313,659,471,2
314,209,465,2
