node_id,lower_word,normal_case,entity_type,degree
0,automated trading,automated trading,0,1
1,grid resource prediction,grid resource prediction,0,1
2,grid resources prediction,grid resources prediction,0,1
3,high speed wireless transmission,high speed wireless transmission,0,1
4,orthogonal frequency division,Orthogonal frequency division,0,1
5,multicell converter,multicell converter,0,1
6,geographic information systems gis,geographic information systems GIS,0,3
7,information technology,Information Technology,0,3
8,artificial intelligence,artificial intelligence,0,18
9,time series forecasting,Time Series Forecasting,0,1
10,semantic web,Semantic Web,0,5
11,open - source,open - source,0,1
12,chinese educational informationization,Chinese educational informationization,0,1
13,open - source e - learning management,open - source E - learning management,0,1
14,open - source software,open - source software,0,1
15,education management,education management,0,1
16,web - based learning,Web - based learning,0,1
17,inductive logic programming,Inductive Logic Programming,0,1
18,single channel source separation,single channel source separation,0,1
19,symptomatic device behavior,symptomatic device behavior,0,1
20,computational biology,computational biology,0,1
21,xml databases,XML databases,0,1
22,pattern recognition,pattern recognition,0,20
23,web mining,Web mining,0,2
24,multi - relational data mining,multi - relational data mining,0,1
25,computer networks,computer networks,0,1
26,elastic,elastic,0,1
27,health information exchange,Health information exchange,0,1
28,automatic analysis,automatic analysis,0,2
29,secondary development,Secondary Development,0,1
30,statistical machine translation,Statistical Machine Translation,0,2
31,web - based information retrieval,web - based information retrieval,0,1
32,automated document clustering,automated document clustering,0,1
33,word sense disambiguation,Word Sense Disambiguation,0,1
34,machine translation,Machine Translation,0,4
35,data integration,data integration,0,1
36,collaborative decision support systems,collaborative decision support systems,0,1
37,multi - agent systems,Multi - agent systems,0,4
38,distributed control,distributed control,0,1
39,fed - batch fermentations,fed - batch fermentations,0,1
40,gastric carcinoma,gastric carcinoma,0,1
41,information systems,information systems,0,10
42,e - commerce,e - commerce,0,5
43,household appliance recycling,household appliance recycling,0,1
44,household appliance,household appliance,0,1
45,appliance recycling,appliance recycling,0,1
46,ovarian epithelial cancer,ovarian epithelial cancer,0,1
47,science fiction,Science Fiction,0,1
48,brain computer,Brain Computer,0,3
49,multiversion software systems,multiversion software systems,0,1
50,information technology outsourcing ito,information technology outsourcing ITO,0,1
51,information technology outsourcing,information technology outsourcing,0,1
52,palmprint recognition,palmprint recognition,0,1
53,palmprint classification,palmprint classification,0,1
54,computers and thought,Computers and Thought,0,1
55,topic segmentation,topic segmentation,0,1
56,speech recognition,speech recognition,0,2
57,contextual semantic segmentation,contextual semantic segmentation,0,1
58,context,context,0,1
59,local information,local information,0,1
60,fuzzy pattern recognition,fuzzy pattern recognition,0,1
61,opinion mining,opinion mining,0,1
62,user - generated,User - generated,0,1
63,military broadband wireless communication system,Military Broadband Wireless Communication System,0,1
64,pattern,Pattern,0,3
65,signal processing,Signal Processing,0,2
66,computational linguistics,Computational Linguistics,0,1
67,speech processing,Speech Processing,0,1
68,fuzzy,fuzzy,0,4
69,image retrieval system,image retrieval system,0,1
70,multiple - instance,Multiple - Instance,0,1
71,automated question answering,automated question answering,0,1
72,keyword,keyword,0,1
73,text mining,text mining,0,3
74,multimedia summarization,multimedia summarization,0,1
75,data retrieval,data retrieval,0,1
76,vote - based d shape recognition and registration,vote - based D shape recognition and registration,0,1
77,digital image watermarking,digital image watermarking,0,1
78,information sharing,information sharing,0,1
79,semantic,semantic,0,1
80,content - based image retrieval cbir,content - based image retrieval CBIR,0,1
81,semantic image retrieval,semantic image retrieval,0,1
82,semantic labeling,semantic labeling,0,2
83,health sciences,Health Sciences,0,1
84,medical informatics,Medical Informatics,0,1
85,medical informatics and technology,Medical Informatics and Technology,0,1
86,imaging,Imaging,0,1
87,health information systems,Health Information Systems,0,8
88,information and knowledge engineering,Information and Knowledge Engineering,0,1
89,temporal reasoning,temporal reasoning,0,1
90,optical character recognition,Optical Character Recognition,0,2
91,multi lingual,multi lingual,0,1
92,edge detection,edge detection,0,1
93,noise reduction,noise reduction,0,1
94,automated,automated,0,1
95,manual segmentation,manual segmentation,0,1
96,traffic control systems,traffic control systems,0,1
97,text analysis,text analysis,0,1
98,text - to - speech tts synthesis,text - to - speech TTS synthesis,0,1
99,impedance matching,impedance matching,0,1
100,social information retrieval,Social Information Retrieval,0,1
101,costly information assimilation,costly information assimilation,0,1
102,decision support systems,Decision Support Systems,0,2
103,spatial epidemiology,spatial epidemiology,0,1
